t,x,y,yaw,v,steering_angle,speed
167.73199999999687,25.898685417452576,0.8421056369845649,-0.034644066474946555,1.6361220197523174,0.0,1.522513508796692
167.75199999999685,25.931390564314196,0.8409721506048665,-0.03464406996480873,1.6363623527909643,0.0,1.522513508796692
167.77199999999686,25.964098173020833,0.8398385788440831,-0.03464407345410381,1.6366011304607873,0.0,1.522513508796692
167.79199999999685,25.996813813484668,0.8387047285247782,-0.03464407694376881,1.6368348337535183,0.0,1.522513508796692
167.81199999999686,26.029531812269752,0.8375707964125672,-0.03464408043360834,1.6370670470907873,0.0,1.522513508796692
167.83199999999687,26.06225531380431,0.8364366734502459,-0.03464408392385465,1.6372957838653097,0.0,1.522513508796692
167.85199999999685,26.094983431745685,0.8353023903755948,-0.0346440874129712,1.637521604027455,0.0,1.522513508796692
167.87199999999686,26.12771462729168,0.834168000559388,-0.03464409090133502,1.6377454797813482,0.0,1.522513508796692
167.89199999999684,26.160452600289926,0.8330333756757009,-0.034644094390855695,1.637965073606065,0.0,1.522513508796692
167.91199999999685,26.193192800432143,0.8318986735453825,-0.034644097880199176,1.6381832603502537,0.0,1.522513508796692
167.93199999999686,26.225938896949046,0.8307637669029816,-0.034644101368321856,1.638397721851964,0.0,1.522513508796692
167.95199999999684,26.258688600383493,0.8296287351548189,-0.03464410485690328,1.6386099045543134,0.0,1.522513508796692
167.97199999999685,26.29144191073559,0.8284935783008911,-0.03464410834594389,1.6388198084573011,0.0,1.522513508796692
167.99199999999686,26.324200869512143,0.8273582255281896,-0.034644111834696734,1.6390261437316938,0.0,1.522513508796692
168.01199999999685,26.356961931443173,0.8262227998060196,-0.03464411532342915,1.6392311502542638,0.0,1.522513508796692
168.03199999999686,26.38972921280985,0.8250871583558586,-0.034644118812623415,1.6394322274247723,0.0,1.522513508796692
168.05199999999687,26.42249919962701,0.8239514230621445,-0.03464412230132785,1.6396315953142988,0.0,1.522513508796692
168.07199999999685,26.455273244619846,0.8228155470031024,-0.03464412578929732,1.6398283992823508,0.0,1.522513508796692
168.09199999999686,26.48805192353518,0.8216795102050454,-0.03464412927833038,1.6400222755778038,0.0,1.522513508796692
168.11199999999684,26.520832588417232,0.8205434045188412,-0.03464413276781908,1.6402148971564274,0.0,1.522513508796692
168.13199999999685,26.553619732506245,0.8194070740814698,-0.034644136255605584,1.6404034252649669,0.0,1.522513508796692
168.15199999999686,26.586408779049528,0.8182706776503649,-0.03464413974358749,1.6405907514236706,0.0,1.522513508796692
168.17199999999684,26.619202264652717,0.8171341272338831,-0.03464414323202458,1.6407752730327576,0.0,1.522513508796692
168.19199999999685,26.651999474304674,0.8159974476326124,-0.03464414672048033,1.640957441838705,0.0,1.522513508796692
168.21199999999683,26.684799166655733,0.8148606819081516,-0.03464415020894851,1.6411380421092248,0.0,1.522513508796692
168.23199999999684,26.71760432636769,0.8137237265198811,-0.03464415369680518,1.6413151881497592,0.0,1.522513508796692
168.25199999999685,26.75041128271339,0.8125867088052933,-0.0346441571845717,1.6414911990912966,0.0,1.522513508796692
168.27199999999684,26.783222995655827,0.8114495260804632,-0.03464416067224674,1.6416642048501704,0.0,1.522513508796692
168.29199999999685,26.816037618293425,0.8103122424140172,-0.03464416416010918,1.6418353723152344,0.0,1.522513508796692
168.31199999999686,26.84885515062614,0.8091748578059568,-0.034644167648158586,1.6420047014864871,0.0,1.522513508796692
168.33199999999684,26.88167723953453,0.8080373151192334,-0.034644171134980084,1.642171151821791,0.0,1.522513508796692
168.35199999999685,26.914501025054623,0.8068997135726861,-0.034644174621599966,1.6423365302513382,0.0,1.522513508796692
168.37199999999686,26.947329827784223,0.8057619379647353,-0.034644178109164425,1.6424987389099577,0.0,1.522513508796692
168.39199999999684,26.980160812996644,0.8046240866380123,-0.03464418159676308,1.6426595686850314,0.0,1.522513508796692
