x,y,yaw,aux1,aux2
40.307967, -98.943886, -0.720857, 1.637809, 2.180109
40.363798, -98.992894, -0.720030, 1.647200, 2.191330
40.419949, -99.042112, -0.719359, 1.656834, 2.202585
40.476745, -99.091791, -0.718334, 1.681930, 2.236370
40.533029, -99.140991, -0.717511, 1.650264, 2.193999
40.589574, -99.190209, -0.715519, 1.667926, 2.209570
40.646117, -99.239128, -0.711710, 1.679280, 2.222490
40.703250, -99.288436, -0.711288, 1.674520, 2.217686
40.760370, -99.337677, -0.710873, 1.685165, 2.223404
40.817643, -99.387002, -0.710201, 1.659285, 2.203684
40.874992, -99.436256, -0.711271, 1.703222, 2.242356
40.932586, -99.485760, -0.709236, 1.696580, 2.231562
40.990349, -99.535224, -0.707701, 1.703889, 2.243049
41.048410, -99.584831, -0.706361, 1.712394, 2.251341
41.106760, -99.634545, -0.704945, 1.721165, 2.260118
41.165413, -99.684370, -0.703418, 1.730463, 2.269307
41.224385, -99.734304, -0.701741, 1.740125, 2.278673
41.283688, -99.784339, -0.699921, 1.749863, 2.287879
41.343326, -99.834468, -0.698039, 1.759444, 2.296731
41.403295, -99.884687, -0.696301, 1.769253, 2.306151
41.463581, -99.935000, -0.694534, 1.778725, 2.314854
41.524189, -99.985391, -0.692738, 1.787986, 2.323620
41.585109, -100.035862, -0.690973, 1.797121, 2.331968
41.646336, -100.086403, -0.689193, 1.806041, 2.340162
41.707864, -100.137009, -0.687426, 1.814820, 2.348086
41.769795, -100.187826, -0.685995, 1.789509, 2.331067
41.830638, -100.237703, -0.685639, 1.785948, 2.310617
41.892342, -100.288180, -0.684980, 1.824648, 2.353851
41.954253, -100.338810, -0.686723, 1.819621, 2.352162
42.016339, -100.389752, -0.685884, 1.815627, 2.345433
42.077995, -100.440085, -0.685493, 1.816885, 2.346825
42.139792, -100.490506, -0.685064, 1.816426, 2.346519
42.201529, -100.540950, -0.685035, 1.816197, 2.345763
42.263237, -100.591369, -0.684872, 1.816116, 2.344553
42.324954, -100.641729, -0.683907, 1.817148, 2.344558
42.386752, -100.692054, -0.682968, 1.820071, 2.346512
42.448660, -100.742363, -0.681708, 1.824185, 2.349182
42.510735, -100.792655, -0.680073, 1.829775, 2.353316
42.573020, -100.842927, -0.677977, 1.836712, 2.358175
42.635568, -100.893173, -0.675532, 1.844963, 2.364324
42.698414, -100.943399, -0.672933, 1.854087, 2.371028
42.761580, -100.993602, -0.670144, 1.863784, 2.378201
42.825320, -101.043907, -0.666711, 1.887834, 2.397779
42.888895, -101.093750, -0.663106, 1.859684, 2.361091
42.952423, -101.143121, -0.658489, 1.874028, 2.369646
43.016185, -101.192234, -0.654315, 1.880154, 2.369760
43.080142, -101.241102, -0.650697, 1.885567, 2.370027
43.144138, -101.289573, -0.646618, 1.882357, 2.358843
43.208553, -101.338058, -0.640933, 1.905561, 2.374802
43.273084, -101.386107, -0.638847, 1.903464, 2.370776
43.337614, -101.434035, -0.637088, 1.897458, 2.359105
43.402813, -101.482028, -0.634811, 1.913490, 2.379476
43.467908, -101.529756, -0.631235, 1.920624, 2.380026
43.533370, -101.577470, -0.628423, 1.930585, 2.386820
43.599146, -101.625134, -0.625729, 1.939930, 2.393675
43.665238, -101.672759, -0.623076, 1.949627, 2.400865
43.731649, -101.720341, -0.620245, 1.959062, 2.407395
43.798393, -101.767870, -0.617448, 1.968670, 2.414603
43.865457, -101.815357, -0.614743, 1.977957, 2.421116
43.932833, -101.862784, -0.611980, 1.987071, 2.427672
44.000517, -101.910153, -0.609242, 1.996027, 2.433871
44.068502, -101.957452, -0.606471, 2.004834, 2.439936
44.136784, -102.004679, -0.603697, 2.013528, 2.445799
44.204921, -102.051610, -0.601303, 2.015104, 2.441225
44.273749, -102.098482, -0.598474, 2.005462, 2.417056
44.342491, -102.145269, -0.595656, 2.057366, 2.476856
44.411366, -102.191865, -0.592905, 2.014742, 2.430905
44.480272, -102.238208, -0.589964, 2.034854, 2.447932
44.549782, -102.284606, -0.587245, 2.045031, 2.456888
44.619036, -102.330487, -0.584199, 2.047201, 2.452984
44.688779, -102.376433, -0.580957, 2.060884, 2.465011
44.759018, -102.422374, -0.577674, 2.072387, 2.474046
44.829650, -102.468259, -0.574601, 2.083698, 2.482603
44.900661, -102.514088, -0.571652, 2.094840, 2.491109
44.972046, -102.559865, -0.568785, 2.106002, 2.499708
45.043800, -102.605590, -0.565899, 2.116942, 2.507948
45.115925, -102.651252, -0.562916, 2.127850, 2.516233
45.188426, -102.696854, -0.560002, 2.138780, 2.524530
45.261296, -102.742395, -0.557143, 2.149695, 2.532843
45.334625, -102.787906, -0.553517, 2.144018, 2.520973
45.407892, -102.832899, -0.550342, 2.188439, 2.558505
45.481302, -102.877915, -0.547852, 2.148795, 2.517714
45.554668, -102.922486, -0.543854, 2.162144, 2.527116
45.628241, -102.966801, -0.540528, 2.169617, 2.530742
45.702051, -103.010952, -0.537695, 2.173381, 2.530786
45.775993, -103.054919, -0.535275, 2.177495, 2.531907
45.849867, -103.098508, -0.532733, 2.156952, 2.505306
45.923977, -103.142072, -0.527448, 2.190029, 2.532581
45.997886, -103.185163, -0.525862, 2.189307, 2.526718
46.072574, -103.228347, -0.523686, 2.192880, 2.530317
46.147253, -103.271275, -0.520076, 2.201413, 2.537291
46.222271, -103.314084, -0.517111, 2.211990, 2.544924
46.297629, -103.356803, -0.514337, 2.222238, 2.552669
46.373332, -103.399444, -0.511630, 2.232686, 2.560678
46.449375, -103.442005, -0.508756, 2.242767, 2.567862
46.525773, -103.484459, -0.505731, 2.253164, 2.575681
46.602523, -103.526821, -0.502868, 2.263294, 2.582956
46.679611, -103.569072, -0.499884, 2.273224, 2.590163
