t,x,y,yaw,v,vy,yaw_rate
12.4,-8.194642767428191e-05,-3.157881812158961e-13,7.897988344846729e-09,-7.0112711249618465e-06,0.0,6.945486327725408e-10
12.42,-8.208665383679018e-05,-3.1689568581302903e-13,7.911879629036944e-09,-7.0113081254138135e-06,0.0,6.94564209510798e-10
12.44,-8.222688073926225e-05,-3.180051441861407e-13,7.92577122476385e-09,-7.011345123603421e-06,0.0,6.94579786345257e-10
12.46,-8.236710838171194e-05,-3.1911655639958493e-13,7.939663132036777e-09,-7.01138212248442e-06,0.0,6.945953636463705e-10
12.48,-8.250733676414919e-05,-3.2022992251768707e-13,7.953555350863894e-09,-7.011419121862276e-06,0.0,6.946109413559525e-10
12.5,-8.26475658865918e-05,-3.213452426048375e-13,7.967447881251819e-09,-7.011456122130793e-06,0.0,6.946265193962597e-10
12.52,-8.278779574912732e-05,-3.2246251672598437e-13,7.981340723219524e-09,-7.011493126776324e-06,0.0,6.94642098385149e-10
12.54,-8.292802635167025e-05,-3.2358174494470186e-13,7.99523387676416e-09,-7.011530127146321e-06,0.0,6.946576772318791e-10
12.56,-8.306825769429587e-05,-3.247029273258463e-13,8.009127341899598e-09,-7.011567131280706e-06,0.0,6.946732567719105e-10
12.58,-8.320848977701141e-05,-3.258260639337348e-13,8.023021118635296e-09,-7.011604135776782e-06,0.0,6.946888367849028e-10
12.6,-8.334872259977607e-05,-3.269511548323015e-13,8.036915206972839e-09,-7.011641138232815e-06,0.0,6.947044168772125e-10
12.62,-8.348895616265422e-05,-3.280782000863249e-13,8.050809606925796e-09,-7.01167814390767e-06,0.0,6.947199976477274e-10
12.64,-8.362919046563772e-05,-3.2920719976000505e-13,8.064704318501319e-09,-7.011715149175521e-06,0.0,6.947355787761359e-10
12.66,-8.376942550874245e-05,-3.30338153917737e-13,8.078599341707388e-09,-7.011752155236339e-06,0.0,6.947511603034921e-10
12.68,-8.39096612920055e-05,-3.3147106262408977e-13,8.092494676554869e-09,-7.011789163152953e-06,0.0,6.947667423740373e-10
12.7,-8.404989781544122e-05,-3.3260592594345195e-13,8.106390323052366e-09,-7.011826171786224e-06,0.0,6.947823248749103e-10
12.72,-8.419013507902506e-05,-3.337427439398993e-13,8.120286281204638e-09,-7.011863179192008e-06,0.0,6.947979076134753e-10
12.74,-8.43303730827975e-05,-3.3488151667803616e-13,8.134182551023654e-09,-7.011900188621726e-06,0.0,6.948134909508393e-10
12.76,-8.447061182676599e-05,-3.360222442222022e-13,8.148079132515788e-09,-7.011937198424843e-06,0.0,6.948290746066889e-10
12.78,-8.461085131093762e-05,-3.371649266367358e-13,8.161976025689703e-09,-7.011974208581195e-06,0.0,6.948446586958036e-10
12.8,-8.475109153534052e-05,-3.383095639861496e-13,8.175873230554602e-09,-7.012011220145007e-06,0.0,6.948602432448097e-10
