t,steering_angle,speed
25.437,0.0,1.0
25.471,0.0,1.0
25.504,0.0,1.0
25.537,0.0,1.0
25.571,0.0,1.0
25.604,0.0,1.0
25.637,0.0,1.0
25.671,0.0,1.0
25.704,0.0,1.0
25.737,0.0,1.0
25.771,0.0,1.0
25.804,0.0,1.0
25.837,0.0,1.0
25.871,0.0,1.0
25.904,0.0,1.0
25.937,0.0,1.0
25.971,0.0,1.0
26.004,0.0,1.0
26.037,0.0,1.0
26.071,0.0,1.0
26.104,0.0,1.0
26.137,0.0,1.0
26.171,0.0,1.0
26.204,0.0,1.0
26.237,0.0,1.0
26.271,0.0,1.0
26.304,0.0,1.0
26.337,0.0,1.0
26.371,0.0,1.0
26.404,0.0,1.0
26.437,0.0,1.0
26.471,0.0,1.0
26.504,0.0,1.0
26.537,0.0,1.0
26.571,0.0,1.0
26.604,0.0,1.0
26.637,0.0,1.0
26.671,0.0,1.0
26.704,0.0,1.0
26.737,0.0,1.0
26.771,0.0,1.0
26.804,0.0,1.0
26.837,0.0,1.0
26.871,0.0,1.0
26.904,0.0,1.0
26.937,0.0,1.0
26.971,0.0,1.0
27.004,0.0,1.0
27.037,0.0,1.0
27.071,0.0,1.0
27.104,0.0,1.0
27.137,0.0,1.0
27.171,0.0,1.0
27.204,0.0,1.0
27.237,0.0,1.0
27.271,0.0,1.0
27.304,0.0,1.0
27.337,0.0,1.0
27.371,0.0,1.0
27.404,0.0,1.0
27.437,0.0,1.0
27.471,0.0,1.0
27.504,0.0,1.0
27.537,0.0,1.0
27.571,0.0,1.0
27.604,0.0,1.0
27.637,0.0,1.0
27.671,0.0,1.0
27.704,0.0,1.0
27.737,0.0,1.0
27.771,0.0,1.0
27.804,0.0,1.0
27.837,0.0,1.0
27.871,0.0,1.0
27.904,0.0,1.0
27.937,0.0,1.0
27.971,0.0,1.0
28.004,0.0,1.0
28.037,0.0,1.0
28.071,0.0,1.0
28.104,0.0,1.0
28.137,0.0,1.0
28.171,0.0,1.0
28.204,0.0,1.0
28.237,0.0,1.0
28.271,0.0,1.0
28.304,0.0,1.0
28.337,0.0,1.0
28.371,0.0,1.0
28.404,0.0,1.0
28.437,0.0,1.0
28.471,0.0,1.0
28.504,0.0,1.0
28.537,0.0,1.0
28.571,0.0,1.0
28.604,0.0,1.0
28.637,0.0,1.0
28.671,0.0,1.0
28.704,0.0,1.0
28.737,0.0,1.0
28.771,0.0,1.0
28.804,0.0,1.0
28.837,0.0,1.0
28.871,0.0,1.0
28.904,0.0,1.0
28.937,0.0,1.0
28.971,0.0,1.0
29.004,0.0,1.0
29.037,0.0,1.0
29.071,0.0,1.0
29.104,0.0,1.0
29.137,0.0,1.0
29.171,0.0,1.0
29.204,0.0,1.0
29.237,0.0,1.0
29.271,0.0,1.0
29.304,0.0,1.0
29.337,0.0,1.0
29.371,0.0,1.0
29.404,0.0,1.0
29.437,0.0,1.0
29.471,0.0,1.0
29.504,0.0,1.0
29.537,0.0,1.0
29.571,0.0,1.0
29.604,0.0,1.0
29.637,0.0,1.0
29.671,0.0,1.0
29.704,0.0,1.0
29.737,0.0,1.0
29.771,0.0,1.0
29.804,0.0,1.0
29.837,0.0,1.0
29.871,0.0,1.0
29.904,0.0,1.0
29.937,0.0,1.0
29.971,0.0,1.0
30.004,0.0,1.0
30.037,0.0,1.0
30.071,0.0,1.0
30.104,0.0,1.0
30.137,0.0,1.0
30.171,0.0,1.0
30.204,0.0,1.0
30.237,0.0,1.0
30.271,0.0,1.0
30.304,0.0,1.0
30.337,0.0,1.0
30.371,0.0,1.0
30.404,0.0,1.0
30.437,0.0,1.0
30.471,0.0,1.0
30.504,0.0,1.0
30.537,0.0,1.0
30.571,0.0,1.0
30.604,0.0,1.0
30.637,0.0,1.0
30.671,0.0,1.0
30.704,0.0,1.0
30.737,0.0,1.0
30.771,0.0,1.0
30.804,0.0,1.0
30.837,0.0,1.0
30.871,0.0,1.0
30.904,0.0,1.0
30.937,0.0,1.0
30.971,0.0,1.0
31.004,0.0,1.0
31.037,0.0,1.0
31.071,0.0,1.0
31.104,0.0,1.0
31.137,0.0,1.0
31.171,0.0,1.0
31.204,0.0,1.0
31.237,0.0,1.0
31.271,0.0,1.0
31.304,0.0,1.0
31.337,0.0,1.0
31.371,0.0,1.0
31.404,0.0,1.0
31.437,0.0,1.0
31.471,0.0,1.0
31.504,0.0,1.0
31.537,0.0,1.0
31.571,0.0,1.0
31.604,0.0,1.0
31.637,0.0,1.0
31.671,0.0,1.0
31.704,0.0,1.0
31.737,0.0,1.0
31.771,0.0,1.0
31.804,0.0,1.0
31.837,0.0,1.0
31.871,0.0,1.0
31.904,0.0,1.0
31.937,0.0,1.0
31.971,0.0,1.0
32.004,0.0,1.0
32.037,0.0,1.0
32.071,0.0,1.0
32.104,0.0,1.0
32.137,0.0,1.0
32.171,0.0,1.0
32.204,0.0,1.0
32.237,0.0,1.0
32.271,0.0,1.0
32.304,0.0,1.0
32.337,0.0,1.0
32.371,0.0,1.0
32.404,0.0,1.0
32.437,0.0,1.0
32.471,0.0,1.0
32.504,0.0,1.0
32.537,0.0,1.0
32.571,0.0,1.0
32.604,0.0,1.0
32.637,0.0,1.0
32.671,0.0,1.0
32.704,0.0,1.0
32.737,0.0,1.0
32.771,0.0,1.0
32.804,0.0,1.0
32.837,0.0,1.0
32.871,0.0,1.0
32.904,0.0,1.0
32.937,0.0,1.0
32.971,0.0,1.0
33.004,0.0,1.0
33.037,0.0,1.0
33.071,0.0,1.0
33.104,0.0,1.0
33.137,0.0,1.0
33.171,0.0,1.0
33.204,0.0,1.0
33.237,0.0,1.0
33.271,0.0,1.0
33.304,0.0,1.0
33.337,0.0,1.0
33.371,0.0,1.0
33.404,0.0,1.0
33.437,0.0,1.0
33.471,0.0,1.0
33.504,0.0,1.0
33.537,0.0,1.0
33.571,0.0,1.0
33.604,0.0,1.0
33.637,0.0,1.0
33.671,0.0,1.0
33.704,0.0,1.0
33.737,0.0,1.0
33.771,0.0,1.0
33.804,0.0,1.0
33.837,0.0,1.0
33.871,0.0,1.0
33.904,0.0,1.0
33.937,0.0,1.0
33.971,0.0,1.0
34.004,0.0,1.0
34.037,0.0,1.0
34.071,0.0,1.0
34.104,0.0,1.0
34.137,0.0,1.0
34.171,0.0,1.0
34.204,0.0,1.0
34.237,0.0,1.0
34.271,0.0,1.0
34.304,0.0,1.0
34.337,0.0,0.0
