t,x,y,yaw,v,vy,yaw_rate
12.4,-0.0001479624124729513,-1.4892525332078983e-12,2.0428998816382885e-08,-1.2684804066188593e-05,0.0,1.784347980206808e-09
12.42,-0.0001482161105767329,-1.4944353314697711e-12,2.0464686951224178e-08,-1.268490518907962e-05,0.0,1.784406742064479e-09
12.44,-0.0001484698107029464,-1.4996272251322168e-12,2.0500376261285017e-08,-1.2685006310675594e-05,0.0,1.7844655030417401e-09
12.46,-0.00014872351285159457,-1.5048282146378008e-12,2.0536066746550412e-08,-1.2685107432408592e-05,0.0,1.7845242632695911e-09
12.48,-0.0001489772170227264,-1.5100383004300424e-12,2.057175840701611e-08,-1.2685208556591715e-05,0.0,1.7845830232846609e-09
12.5,-0.00014923092321623624,-1.5152574829492904e-12,2.0607451242654685e-08,-1.2685309675491862e-05,0.0,1.7846417819285904e-09
12.52,-0.00014948463143218548,-1.5204857626393255e-12,2.0643145253462213e-08,-1.2685410797462422e-05,0.0,1.7847005403765245e-09
12.54,-0.000149738341670582,-1.5257231399428355e-12,2.0678840439424432e-08,-1.2685511919826253e-05,0.0,1.784759298110971e-09
12.56,-0.00014999205393142218,-1.5309696153022751e-12,2.071453680052968e-08,-1.2685613042008763e-05,0.0,1.7848180552623142e-09
12.58,-0.00015024576821465402,-1.536225189159101e-12,2.0750234336756668e-08,-1.2685714161592005e-05,0.0,1.7848768113494767e-09
12.6,-0.0001504994845202752,-1.5414898619557968e-12,2.0785933048093922e-08,-1.2685815281059194e-05,0.0,1.7849355668626358e-09
12.62,-0.00015075320284823945,-1.546763634133936e-12,2.0821632934522363e-08,-1.2685916398212574e-05,0.0,1.7849943214220993e-09
12.64,-0.00015100692319866912,-1.552046506138601e-12,2.085733399604524e-08,-1.2686017521483994e-05,0.0,1.7850530761438368e-09
12.66,-0.0001512606455714697,-1.557338478410372e-12,2.0893036232635278e-08,-1.2686118640029087e-05,0.0,1.7851118295019276e-09
12.68,-0.00015151436996659488,-1.5626395513908259e-12,2.092873964427199e-08,-1.2686219756259019e-05,0.0,1.7851705818355808e-09
12.7,-0.00015176809638400143,-1.5679497255216018e-12,2.0964444230939547e-08,-1.2686320870328565e-05,0.0,1.7852293333777883e-09
12.72,-0.00015202182482374095,-1.5732690012463241e-12,2.1000149992632634e-08,-1.2686421986975604e-05,0.0,1.7852880846543857e-09
12.74,-0.00015227555528574173,-1.5785973790060404e-12,2.1035856929325782e-08,-1.2686523100038571e-05,0.0,1.785346834657416e-09
12.76,-0.00015252928777004628,-1.5839348592441934e-12,2.1071565041012408e-08,-1.2686624215227762e-05,0.0,1.7854055843312733e-09
12.78,-0.00015278302227662014,-1.5892814424026138e-12,2.1107274327676495e-08,-1.2686725328693456e-05,0.0,1.785464333204584e-09
12.8,-0.00015303675880543597,-1.5946371289232818e-12,2.1142984789300225e-08,-1.2686826440791141e-05,0.0,1.7855230811864776e-09
12.82,-0.00015329049735653973,-1.600001919249728e-12,2.117869642587749e-08,-1.2686927555188534e-05,0.0,1.7855818288635343e-09
12.84,-0.00015354423792991292,-1.6053758138241265e-12,2.1214409237394535e-08,-1.268702866865896e-05,0.0,1.7856405758520341e-09
12.86,-0.00015379798052548855,-1.610758813087627e-12,2.1250123223827945e-08,-1.2687129778782236e-05,0.0,1.7856993216704437e-09
12.88,-0.00015405172514333318,-1.6161509174842085e-12,2.1285838385174512e-08,-1.2687230892231498e-05,0.0,1.7857580673283815e-09
12.9,-0.00015430547178334571,-1.6215521274542963e-12,2.1321554721407437e-08,-1.2687332000626283e-05,0.0,1.7858168116462515e-09
12.92,-0.00015455922044557997,-1.6269624434416078e-12,2.1357272232520316e-08,-1.2687433111712712e-05,0.0,1.7858755556438784e-09
12.94,-0.00015481297113005508,-1.6323818658891315e-12,2.1392990918504676e-08,-1.2687534223756216e-05,0.0,1.7859342992179536e-09
12.96,-0.00015506672383676698,-1.6378103952393648e-12,2.1428710779345952e-08,-1.2687635335594587e-05,0.0,1.785993042063996e-09
12.98,-0.00015532047856574687,-1.643248031935566e-12,2.146443181503597e-08,-1.2687736448994119e-05,0.0,1.7860517845010424e-09
13.0,-0.0001555742353168275,-1.6486947764167415e-12,2.1500154025540022e-08,-1.2687837554031876e-05,0.0,1.7861105252026226e-09
13.02,-0.00015582799409010565,-1.654150629127554e-12,2.1535877410859147e-08,-1.2687938663908115e-05,0.0,1.786169265956478e-09
13.04,-0.00015608175488549168,-1.6596155905086698e-12,2.1571601970966743e-08,-1.268803976930151e-05,0.0,1.7862280053799344e-09
13.06,-0.00015633551770298515,-1.6650896610026701e-12,2.1607327705851578e-08,-1.2688140874673949e-05,0.0,1.7862867442419395e-09
13.08,-0.00015658928254264924,-1.6705728410535152e-12,2.164305461550856e-08,-1.2688241983205261e-05,0.0,1.7863454828492754e-09
13.1,-0.00015684304940428835,-1.6760651310995765e-12,2.1678782699898972e-08,-1.2688343081955104e-05,0.0,1.7864042195209275e-09
13.12,-0.000157096818288051,-1.681566531586663e-12,2.171451195902975e-08,-1.2688444188132886e-05,0.0,1.7864629565388815e-09
13.14,-0.00015735058919391073,-1.6870770429568083e-12,2.1750242392885986e-08,-1.268854529298737e-05,0.0,1.786521692811897e-09
13.16,-0.00015760436212190933,-1.69259666565353e-12,2.178597400145816e-08,-1.2688646399929105e-05,0.0,1.7865804286088316e-09
13.18,-0.00015785813707194744,-1.6981254001172815e-12,2.182170678472393e-08,-1.2688747501905103e-05,0.0,1.7866391632887594e-09
13.2,-0.00015811191404402458,-1.7036632467906641e-12,2.1857440742669243e-08,-1.2688848603857378e-05,0.0,1.7866978972657297e-09
13.22,-0.00015836569303813165,-1.7092102061160937e-12,2.1893175875280225e-08,-1.2688949705353824e-05,0.0,1.7867566305493009e-09
13.24,-0.0001586194740542604,-1.7147662785360075e-12,2.192891218254313e-08,-1.2689050806436811e-05,0.0,1.7868153631454023e-09
13.26,-0.00015887325709244043,-1.7203314644936764e-12,2.1964649664448132e-08,-1.2689151909001381e-05,0.0,1.786874095250417e-09
13.28,-0.00015912704215275506,-1.7259057644335584e-12,2.2000388320997207e-08,-1.2689253015732128e-05,0.0,1.786932827453696e-09
